drugbank_id,id
DB01124,917
DB00384,918
DB00004,920
DB01005,921
DB00631,922
DB05260,925
DB06626,926
DB04920,927
DB00270,928
DB01115,933
DB00401,937
DB00989,939
DB06168,941
DB06372,942
DB08908,946
DB00509,947
DB00279,949
DB09072,951
DB00181,952
DB00348,953
DB06412,955
DB00499,956
DB00665,957
DB00858,958
DB01128,959
DB06710,960
DB01493,961
DB06718,962
DB01420,963
DB13944,964
DB08804,965
DB00621,966
DB13943,967
DB00624,968
DB01185,969
DB08899,970
DB00984,971
DB00604,973
DB01001,975
DB00087,992
DB00673,993
DB06605,995
DB06228,996
DB00973,997
DB01166,999
DB01080,1001
DB00038,1002
DB09065,1003
DB06681,1005
DB01281,1006
DB08879,1007
DB00042,1011
DB06643,1012
DB01257,1013
DB06186,1014
DB00048,1015
DB08889,1016
DB00188,1017
DB00724,1018
DB00533,1020
DB00821,1021
DB00814,1022
DB00461,1023
DB00580,1024
DB00482,1025
DB00749,1026
DB00486,1027
DB00470,1028
DB01180,1029
DB00206,1030
DB01089,1031
DB04844,1032
DB08816,1035
DB00073,1038
DB06650,1039
DB00081,1040
DB00483,1044
DB00732,1048
DB00416,1049
DB01226,1050
DB01213,1054
DB01028,1055
DB01189,1056
DB00228,1057
DB01236,1058
DB01159,1059
DB00753,1060
DB00579,1063
DB00917,1066
DB00799,1067
DB00755,1068
DB00307,1069
DB00523,1070
DB00459,1071
DB00926,1072
DB01078,1073
DB01396,1074
DB00390,1075
DB00511,1076
DB01205,1077
DB00475,1079
DB00829,1081
DB00402,1082
DB00842,1083
DB00371,1084
DB00349,1085
DB00404,1086
DB00897,1087
DB00241,1088
DB01068,1089
DB01215,1090
DB00306,1091
DB00237,1092
DB01437,1093
DB00186,1094
DB00189,1095
DB00463,1096
DB01107,1098
DB01588,1100
DB00794,1101
DB00818,1102
DB01589,1103
DB00312,1104
DB00231,1107
DB00292,1110
DB00690,1111
DB00801,1112
DB00962,1115
DB01126,1116
DB14642,1118
DB01599,1119
DB01030,1120
DB06775,1121
DB00993,1122
DB01033,1123
DB00041,1125
DB14865,1125
DB00111,1126
DB00074,1127
DB00075,1128
DB00020,1129
DB00018,1130
DB00034,1131
DB00105,1132
DB00060,1133
DB00008,1134
DB00022,1135
DB00068,1136
DB00069,1137
DB00033,1138
DB05679,1139
DB06273,1140
DB08868,1141
DB00987,1142
DB00230,1144
DB00996,1145
DB08872,1146
DB01121,1149
DB00740,1153
DB00754,1157
DB00750,1161
DB00532,1165
DB00564,1166
DB09085,1168
DB06218,1169
DB06201,1176
DB00776,1177
DB00252,1162
DB00555,1181
DB00281,1182
DB00909,1185
DB00668,1189
DB00368,1191
DB01403,1196
DB05271,1198
DB00095,1200
DB00832,1202
DB00617,1203
DB05246,1204
DB00593,1205
DB00347,1206
DB06637,1207
DB00032,587
DB08931,1212
DB08932,1213
DB08935,1214
DB09053,1215
DB09119,1216
DB00586,1221
DB00563,1222
DB05676,1223
DB06262,1224
DB09071,1225
DB13946,1226
DB09046,1227
DB05578,1228
DB09036,1229
DB09043,1230
DB05015,1231
DB09034,1233
DB09038,1235
DB09063,1236
DB00067,1238
DB09054,1239
DB09037,1241
DB09045,1244
DB09122,1245
DB09033,1246
DB09048,1247
DB09272,1250
DB09073,1251
DB05829,1253
DB09074,1254
DB09052,1255
DB09035,1256
DB09029,1257
DB09280,1260
DB09292,1261
DB09128,1262
DB00637,1264
DB00982,1266
DB01303,1268
DB09302,1273
DB09303,1275
DB09564,1278
DB14185,1279
DB09331,1283
DB06317,1286
DB11362,1288
DB11560,1289
DB05608,1290
DB11836,1295
DB13111,1305
DB12461,1306
DB05234,1308
DB15416,1314
DB12719,1315
DB14976,1317
DB11814,1318
DB12914,1326
DB15499,1329
DB12597,1331
DB11694,1332
DB12535,1334
DB12318,1335
DB08079,1338
DB16879,1339
DB17197,1341
DB14889,1343
DB14982,1344
DB16294,1348
DB12729,1352
DB18840,1353
DB14980,1362
DB12242,1368
DB12774,1369
DB15029,1370
DB06061,1371
DB12966,1378
DB03044,1379
DB05969,1380
DB15068,1388
DB13060,1389
DB12302,1394
DB15294,1396
DB12174,1397
DB11891,1398
DB17191,1400
DB15281,1404
DB14916,1406
DB11962,1407
DB12703,1409
DB11795,1411
DB12745,1414
DB13164,1415
DB16299,1416
DB13113,1423
DB14943,1429
DB14723,1431
DB12381,1435
DB14935,1448
DB15266,1449
DB13061,1450
DB15431,1452
DB15110,1454
DB15227,1457
DB11652,1458
DB05913,1459
DB13051,1461
DB12812,1462
DB11775,1468
DB12848,1470
DB14973,1471
DB12686,1472
DB08094,1485
DB15254,1488
DB13072,1491
DB15186,1492
DB08424,1495
DB12933,1496
DB11899,1505
DB07943,1507
DB06314,1510
DB06134,1511
DB03428,1513
DB12682,1515
DB13093,1517
DB12756,1520
DB16656,1525
DB15273,1528
DB11794,1530
DB14860,1534
DB12004,1543
DB12900,1545
DB12857,1548
DB14766,1553
DB15046,1557
DB18811,1561
DB15027,1566
DB12715,1570
DB05936,1574
DB12122,1579
DB15442,1588
DB12210,1593
DB18707,1600
DB14993,1612
DB12875,1622
DB06374,1632
DB07724,1637
DB16332,1638
DB11806,1639
