chembl_id,id
CHEMBL2356097,272
CHEMBL2062335,273
CHEMBL1201731,274
CHEMBL1201063,275
CHEMBL499,276
CHEMBL1201461,277
CHEMBL3989509,278
CHEMBL3989510,279
CHEMBL1256818,277
CHEMBL1072,280
CHEMBL456,281
CHEMBL1148,282
CHEMBL35,283
CHEMBL1200487,284
CHEMBL406,285
CHEMBL878,286
CHEMBL61593,287
CHEMBL1201039,288
CHEMBL842,289
CHEMBL1200616,290
CHEMBL1532,291
CHEMBL1577,292
CHEMBL435,293
CHEMBL1684,294
CHEMBL1763,295
CHEMBL1054,296
CHEMBL1055,297
CHEMBL1587,298
CHEMBL1200776,299
CHEMBL181,300
CHEMBL2311030,301
CHEMBL1185,302
CHEMBL2138684,303
CHEMBL1200601,304
CHEMBL1201032,305
CHEMBL128,306
CHEMBL1201150,307
CHEMBL2368924,308
CHEMBL46,309
CHEMBL1237080,310
CHEMBL289469,311
CHEMBL1720,312
CHEMBL3186492,313
CHEMBL1200885,314
CHEMBL1200755,315
CHEMBL1201182,316
CHEMBL413,317
CHEMBL1908360,318
CHEMBL1200686,319
CHEMBL3989887,320
CHEMBL1200485,321
CHEMBL1580,322
CHEMBL2105613,323
CHEMBL433,324
CHEMBL109,325
CHEMBL1118,326
CHEMBL1708,327
CHEMBL1200322,328
CHEMBL1200710,329
CHEMBL1200781,330
CHEMBL1409,331
CHEMBL1709,332
CHEMBL1200609,333
CHEMBL1201082,334
CHEMBL1200595,335
CHEMBL1615374,336
CHEMBL1200798,337
CHEMBL1201066,338
CHEMBL1200964,339
CHEMBL1113,340
CHEMBL1201728,341
CHEMBL1200328,342
CHEMBL1692,343
CHEMBL3989845,344
CHEMBL4297064,345
CHEMBL1200492,346
CHEMBL1201156,347
CHEMBL1200332,348
CHEMBL1715,349
CHEMBL843,350
CHEMBL408,351
CHEMBL1201488,352
CHEMBL1201616,353
CHEMBL3039582,352
CHEMBL1201745,354
CHEMBL457,355
CHEMBL672,356
CHEMBL565,357
CHEMBL981,358
CHEMBL5483015,359
CHEMBL1200477,360
CHEMBL1164729,361
CHEMBL1467,362
CHEMBL1465,363
CHEMBL711,364
CHEMBL1466,365
CHEMBL1200772,366
CHEMBL1200879,367
CHEMBL964,368
CHEMBL1201187,369
CHEMBL902,370
CHEMBL1201051,371
CHEMBL1200949,372
CHEMBL3183075,373
